district,market,price_lkr,year,month,usd_lkr_rate,food_inflation_yoy,quarter,agri_season,crisis_period,covid_lockdown,month_sin,month_cos,price_lag_1m,price_lag_2m,price_lag_3m,price_roll3m_mean,price_roll6m_mean,price_roll3m_std,price_mom_pct,rice_Rice (long grain),rice_Rice (medium grain),rice_Rice (red nadu),rice_Rice (red),rice_Rice (white),prov_Central,prov_Eastern,prov_North Central,prov_North Western,prov_Northern,prov_Sabaragamuwa,prov_Southern,prov_Uva,prov_Western
Nuwara Eliya,Nuwara Eliya,75.65,2015,2,133.2,0.0,1,0,0,0,0.8660254037844386,0.5000000000000001,84.25,79.7,83.45,82.46666666666667,82.46666666666667,2.4291630931934827,-10.21,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,78.45,2015,2,133.2,0.0,1,0,0,0,0.8660254037844386,0.5000000000000001,75.65,84.25,79.7,79.86666666666666,80.7625,4.302421798630774,3.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,72.56,2015,3,133.2,0.0,1,0,0,0,1.0,6.123233995736766e-17,78.45,75.65,84.25,79.45,80.3,4.3863424398922515,-7.51,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,74.2,2015,3,133.2,0.0,1,0,0,0,1.0,6.123233995736766e-17,72.56,78.45,75.65,75.55333333333334,79.01,2.946189629561056,2.26,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,72.24,2015,3,133.2,0.0,1,0,0,0,1.0,6.123233995736766e-17,74.2,72.56,78.45,75.07000000000001,77.46833333333335,3.0398519700800843,-2.64,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,66.0,2015,4,133.2,0.0,2,1,0,0,0.8660254037844387,-0.4999999999999998,72.24,74.2,72.56,73.0,76.225,1.0514751542474678,-8.64,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,71.3,2015,4,133.2,0.0,2,1,0,0,0.8660254037844387,-0.4999999999999998,66.0,72.24,74.2,70.81333333333333,73.18333333333334,4.282117856076951,8.03,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,69.75,2015,4,133.2,0.0,2,1,0,0,0.8660254037844387,-0.4999999999999998,71.3,66.0,72.24,69.84666666666666,72.45833333333333,3.3643028004823012,-2.17,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,66.65,2015,5,133.2,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,69.75,71.3,66.0,69.01666666666667,71.00833333333334,2.7250382260315305,-4.44,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,68.25,2015,5,133.2,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,66.65,69.75,71.3,69.23333333333333,70.02333333333333,2.3676641090604584,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,67.8,2015,6,136.3,0.0,2,1,0,0,1.2246467991473532e-16,-1.0,68.25,66.65,69.75,68.21666666666667,69.03166666666665,1.5502687938977116,-0.66,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,62.5,2015,7,136.3,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,67.8,68.25,66.65,67.56666666666666,68.29166666666667,0.8251262529656109,-7.82,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,60.05,2015,7,136.3,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,62.5,67.8,68.25,66.18333333333334,67.70833333333333,3.1977856922146985,-3.92,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,59.44,2015,8,136.3,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,60.05,62.5,67.8,63.449999999999996,65.83333333333333,3.9613760235554003,-1.02,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,57.52,2015,8,136.3,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,59.44,60.05,62.5,60.663333333333334,64.115,1.61957813437105,-3.23,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,59.95,2015,9,136.3,0.0,3,1,0,0,-1.0,-1.8369701987210297e-16,57.52,59.44,60.05,59.00333333333333,62.59333333333333,1.3203156188323788,4.22,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,65.65,2015,9,136.3,0.0,3,1,0,0,-1.0,-1.8369701987210297e-16,59.95,57.52,59.44,58.97,61.21,1.2813664581217186,9.51,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,59.95,2015,10,136.3,0.0,4,0,0,0,-0.8660254037844386,0.5000000000000001,65.65,59.95,57.52,61.04,60.85166666666667,4.173164267075947,-8.68,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,64.55,2015,10,136.3,0.0,4,0,0,0,-0.8660254037844386,0.5000000000000001,59.95,65.65,59.95,61.85,60.42666666666667,3.290896534380802,7.67,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,65.5,2015,10,136.3,0.0,4,0,0,0,-0.8660254037844386,0.5000000000000001,64.55,59.95,65.65,63.38333333333333,61.17666666666667,3.023794525647033,1.47,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,68.45,2015,11,136.3,0.0,4,0,0,0,-0.5000000000000004,0.8660254037844384,65.5,64.55,59.95,63.333333333333336,62.18666666666667,2.9683047911784524,4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,71.0,2015,11,136.3,0.0,4,0,0,0,-0.5000000000000004,0.8660254037844384,68.45,65.5,64.55,66.16666666666667,64.00833333333334,2.0336748347100877,3.73,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,65.6,2015,12,144.1,0.0,4,0,0,0,-2.4492935982947064e-16,1.0,71.0,68.45,65.5,68.31666666666666,65.85,2.7524231748285235,-7.61,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,71.05,2015,12,144.1,0.0,4,0,0,0,-2.4492935982947064e-16,1.0,65.6,71.0,68.45,68.35000000000001,65.84166666666667,2.701388531847985,8.31,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,74.05,2015,12,144.1,0.0,4,0,0,0,-2.4492935982947064e-16,1.0,71.05,65.6,71.0,69.21666666666667,67.69166666666666,3.1322249812765954,4.22,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,68.0,2016,2,144.4,0.0,1,0,0,0,0.8660254037844386,0.5000000000000001,74.05,71.05,65.6,70.23333333333333,69.27499999999999,4.283787265181733,-8.17,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,75.5,2016,2,144.4,0.0,1,0,0,0,0.8660254037844386,0.5000000000000001,68.0,74.05,71.05,71.03333333333335,69.69166666666666,3.0250344350656873,11.03,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,63.5,2016,3,144.4,0.0,1,0,0,0,1.0,6.123233995736766e-17,75.5,68.0,74.05,72.51666666666667,70.86666666666666,3.978169595848479,-15.89,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,70.33,2016,3,144.4,0.0,1,0,0,0,1.0,6.123233995736766e-17,63.5,75.5,68.0,69.0,69.61666666666666,6.062177826491049,10.76,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,67.67,2016,3,144.4,0.0,1,0,0,0,1.0,6.123233995736766e-17,70.33,63.5,75.5,69.77666666666666,70.40499999999999,6.019105692155033,-3.78,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,71.08,2016,4,144.4,0.0,2,1,0,0,0.8660254037844387,-0.4999999999999998,67.67,70.33,63.5,67.16666666666667,69.84166666666667,3.4427072680280175,5.04,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,69.67,2016,4,144.4,0.0,2,1,0,0,0.8660254037844387,-0.4999999999999998,71.08,67.67,70.33,69.69333333333333,69.34666666666668,1.7919356387250882,-1.98,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,67.62,2016,5,144.4,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,69.67,71.08,67.67,69.47333333333334,69.625,1.7134857260371559,-2.94,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,69.42,2016,5,144.4,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,67.62,69.67,71.08,69.45666666666666,68.31166666666667,1.7398371571308255,2.66,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,74.08,2016,5,144.4,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,69.42,67.62,69.67,68.90333333333334,69.29833333333333,1.1184066046537144,6.71,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,77.42,2016,6,146.9,0.0,2,1,0,0,1.2246467991473532e-16,-1.0,74.08,69.42,67.62,70.37333333333333,69.92333333333333,3.3338466271460505,4.51,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,71.25,2016,6,146.9,0.0,2,1,0,0,1.2246467991473532e-16,-1.0,77.42,74.08,69.42,73.64,71.54833333333333,4.018109007978746,-7.97,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,75.33,2016,6,146.9,0.0,2,1,0,0,1.2246467991473532e-16,-1.0,71.25,77.42,74.08,74.25,71.57666666666667,3.088510968088017,5.73,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,76.75,2016,7,146.9,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,75.33,71.25,77.42,74.66666666666667,72.52,3.1380301676901268,1.89,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,72.5,2016,7,146.9,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,76.75,75.33,71.25,74.44333333333333,74.04166666666667,2.855194097313405,-5.54,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,73.5,2016,7,146.9,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,72.5,76.75,75.33,74.86,74.55499999999999,2.1636312070221186,1.38,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,73.75,2016,8,146.9,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,73.5,72.5,76.75,74.25,74.45833333333333,2.2220486043288954,0.34,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,70.67,2016,8,146.9,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,73.75,73.5,72.5,73.25,73.84666666666666,0.6614378277661409,-4.18,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,74.54,2016,8,146.9,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,70.67,73.75,73.5,72.64,73.75,1.7106431539043987,5.48,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,74.33,2016,9,146.9,0.0,3,1,0,0,-1.0,-1.8369701987210297e-16,74.54,70.67,73.75,72.98666666666668,73.61833333333334,2.044806429306529,-0.28,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,62.75,2016,9,146.9,0.0,3,1,0,0,-1.0,-1.8369701987210297e-16,74.33,74.54,70.67,73.18,73.215,2.176258256733327,-15.58,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,65.8,2016,9,146.9,0.0,3,1,0,0,-1.0,-1.8369701987210297e-16,62.75,74.33,74.54,70.54,71.59,6.747154955979595,4.86,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,78.28,2016,10,146.9,0.0,4,0,0,0,-0.8660254037844386,0.5000000000000001,65.8,62.75,74.33,67.62666666666667,70.30666666666667,6.002219034101751,18.97,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,80.9,2016,12,149.8,0.0,4,0,0,0,-2.4492935982947064e-16,1.0,78.28,65.8,62.75,68.94333333333333,71.06166666666667,8.2283432921417,3.35,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,88.2,2016,12,149.8,0.0,4,0,0,0,-2.4492935982947064e-16,1.0,80.9,78.28,65.8,74.99333333333334,72.76666666666667,8.068713239007389,9.02,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,82.1,2016,12,149.8,0.0,4,0,0,0,-2.4492935982947064e-16,1.0,88.2,80.9,78.28,82.46,75.04333333333334,5.140700341393114,-6.92,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,90.56,2017,1,151.5,0.0,1,0,0,0,0.49999999999999994,0.8660254037844387,82.1,88.2,80.9,83.73333333333333,76.33833333333332,3.9145029484383507,10.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,89.8,2017,1,151.5,0.0,1,0,0,0,0.49999999999999994,0.8660254037844387,90.56,82.1,88.2,86.95333333333333,80.97333333333334,4.365608014163929,-0.84,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,89.0,2017,4,151.5,0.0,2,1,0,0,0.8660254037844387,-0.4999999999999998,89.8,90.56,82.1,87.48666666666666,84.97333333333333,4.680441574609415,-0.89,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,88.8,2017,5,151.5,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,89.0,89.8,90.56,89.78666666666668,86.76,0.7800854654023843,-0.22,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,92.0,2017,5,151.5,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,88.8,89.0,89.8,89.2,88.07666666666667,0.5291502622117458,3.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,96.0,2017,6,153.5,0.0,2,1,0,0,1.2246467991473532e-16,-1.0,92.0,88.8,89.0,89.93333333333332,88.71,1.7925772879661421,4.35,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,96.5,2017,6,153.5,0.0,2,1,0,0,1.2246467991473532e-16,-1.0,96.0,92.0,88.8,92.26666666666665,91.02666666666666,3.607399802258114,0.52,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,98.0,2017,7,153.5,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,96.5,96.0,92.0,94.83333333333333,92.01666666666667,2.466441431157784,1.55,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,91.08,2017,7,153.5,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,98.0,96.5,96.0,96.83333333333333,93.38333333333333,1.0408329997321997,-7.06,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,88.5,2017,8,153.5,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,91.08,98.0,96.5,95.19333333333333,93.73,3.6403479687155786,-2.83,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,84.67,2017,8,153.5,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,88.5,91.08,98.0,92.52666666666666,93.68,4.912446776641128,-4.33,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,95.58,2017,8,153.5,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,84.67,88.5,91.08,88.08333333333333,92.45833333333333,3.2252493443657957,12.89,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,92.58,2017,9,153.5,0.0,3,1,0,0,-1.0,-1.8369701987210297e-16,95.58,84.67,88.5,89.58333333333333,92.38833333333334,5.53509108627238,-3.14,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,94.08,2017,9,153.5,0.0,3,1,0,0,-1.0,-1.8369701987210297e-16,92.58,95.58,84.67,90.94333333333334,91.735,5.636136383492854,1.62,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,98.58,2017,9,153.5,0.0,3,1,0,0,-1.0,-1.8369701987210297e-16,94.08,92.58,95.58,94.08,91.08166666666666,1.4999999999995037,4.78,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,98.13,2017,10,153.5,0.0,4,0,0,0,-0.8660254037844386,0.5000000000000001,98.58,94.08,92.58,95.08,92.33166666666666,3.122498999198955,-0.46,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,102.8,2017,10,153.5,0.0,4,0,0,0,-0.8660254037844386,0.5000000000000001,98.13,98.58,94.08,96.92999999999999,93.93666666666667,2.4784067462784254,4.76,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,100.1,2017,11,153.5,0.0,4,0,0,0,-0.5000000000000004,0.8660254037844384,102.8,98.13,98.58,99.83666666666666,96.95833333333333,2.5761664024925963,-2.63,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,99.09,2017,11,153.5,0.0,4,0,0,0,-0.5000000000000004,0.8660254037844384,100.1,102.8,98.13,100.34333333333332,97.71166666666666,2.3444899942912185,-1.01,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,102.8,2017,11,153.5,0.0,4,0,0,0,-0.5000000000000004,0.8660254037844384,99.09,100.1,102.8,100.66333333333334,98.79666666666667,1.918080637859531,3.74,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,93.65,2018,3,155.0,0.0,1,0,0,0,1.0,6.123233995736766e-17,102.8,99.09,100.1,100.66333333333334,100.25,1.918080637859531,-8.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,95.45,2018,3,155.0,0.0,1,0,0,0,1.0,6.123233995736766e-17,93.65,102.8,99.09,98.51333333333334,99.42833333333333,4.6021770210772734,1.92,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,213.16,2023,7,316.0,-1.4,3,1,0,0,-0.4999999999999997,-0.8660254037844388,215.0,213.1,217.75,215.28333333333333,215.28333333333333,2.337912173999139,-0.86,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Hanguranketha,214.24,2023,7,316.0,-1.4,3,1,0,0,-0.4999999999999997,-0.8660254037844388,213.16,215.0,213.1,213.75333333333333,214.7525,1.0800617266311197,0.51,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,212.24,2023,7,316.0,-1.4,3,1,0,0,-0.4999999999999997,-0.8660254037844388,214.24,213.16,215.0,214.13333333333333,214.65,0.9246260505379459,-0.93,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,215.0,2023,7,316.0,-1.4,3,1,0,0,-0.4999999999999997,-0.8660254037844388,212.24,214.24,213.16,213.21333333333334,214.24833333333333,1.0010660983838067,1.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,215.65,2023,8,320.0,-4.8,3,1,0,0,-0.8660254037844385,-0.5000000000000004,215.0,212.24,214.24,213.82666666666668,213.79,1.4256694334007998,0.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,212.2,2023,8,320.0,-4.8,3,1,0,0,-0.8660254037844385,-0.5000000000000004,215.65,215.0,212.24,214.29666666666665,214.21500000000003,1.8105339912118057,-1.6,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Hanguranketha,214.4,2023,8,320.0,-4.8,3,1,0,0,-0.8660254037844385,-0.5000000000000004,212.2,215.65,215.0,214.28333333333333,213.74833333333333,1.8332575741922843,1.04,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,217.1,2023,9,325.0,-5.2,3,1,0,0,-1.0,-1.8369701987210297e-16,214.4,212.2,215.65,214.08333333333334,213.955,1.7466634860022066,1.26,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Hanguranketha,217.3,2023,9,325.0,-5.2,3,1,0,0,-1.0,-1.8369701987210297e-16,217.1,214.4,212.2,214.5666666666667,214.43166666666664,2.454248017893335,0.09,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,218.2,2023,10,323.0,-5.2,4,0,0,0,-0.8660254037844386,0.5000000000000001,217.3,217.1,214.4,216.26666666666665,215.275,1.6196707484341812,0.41,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Hanguranketha,217.96,2023,10,323.0,-5.2,4,0,0,0,-0.8660254037844386,0.5000000000000001,218.2,217.3,217.1,217.53333333333333,215.8083333333333,0.5859465277082079,-0.11,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,219.35,2023,11,322.0,-3.6,4,0,0,0,-0.5000000000000004,0.8660254037844384,217.96,218.2,217.3,217.82000000000002,216.1933333333333,0.46604720790921156,0.64,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,217.3,2023,11,322.0,-3.6,4,0,0,0,-0.5000000000000004,0.8660254037844384,219.35,217.96,218.2,218.50333333333333,217.38500000000002,0.7429894570808674,-0.93,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Hanguranketha,217.65,2023,11,322.0,-3.6,4,0,0,0,-0.5000000000000004,0.8660254037844384,217.3,219.35,217.96,218.20333333333335,217.86833333333334,1.0464384039843508,0.16,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,220.0,2023,12,320.0,0.3,4,0,0,0,-2.4492935982947064e-16,1.0,217.65,217.3,219.35,218.1,217.96000000000004,1.09658560997306,1.08,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Hanguranketha,218.5,2023,12,320.0,0.3,4,0,0,0,-2.4492935982947064e-16,1.0,220.0,217.65,217.3,218.3166666666667,218.41,1.4682756326157957,-0.68,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,216.15,2023,12,320.0,0.3,4,0,0,0,-2.4492935982947064e-16,1.0,218.5,220.0,217.65,218.7166666666667,218.46000000000004,1.189887949906754,-1.08,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,217.56,2024,1,315.0,3.3,1,0,0,0,0.49999999999999994,0.8660254037844387,216.15,218.5,220.0,218.21666666666667,218.15833333333333,1.9405755160089344,0.65,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,219.08,2024,1,315.0,3.3,1,0,0,0,0.49999999999999994,0.8660254037844387,217.56,216.15,218.5,217.40333333333334,217.85999999999999,1.1828073948591191,0.7,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,220.0,2024,1,315.0,3.3,1,0,0,0,0.49999999999999994,0.8660254037844387,219.08,217.56,216.15,217.59666666666666,218.15666666666667,1.4653441006580767,0.42,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,217.4,2024,2,310.0,3.5,1,0,0,0,0.8660254037844386,0.5000000000000001,220.0,219.08,217.56,218.88000000000002,218.54833333333332,1.2322337440599458,-1.18,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Hanguranketha,216.84,2024,2,310.0,3.5,1,0,0,0,0.8660254037844386,0.5000000000000001,217.4,220.0,219.08,218.82666666666668,218.11499999999998,1.3183828477848585,-0.26,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,217.47,2024,2,310.0,3.5,1,0,0,0,0.8660254037844386,0.5000000000000001,216.84,217.4,220.0,218.08,217.83833333333337,1.6861791126686387,0.29,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Hanguranketha,217.85,2024,3,305.0,3.8,1,0,0,0,1.0,6.123233995736766e-17,217.47,216.84,217.4,217.23666666666668,218.05833333333337,0.3453018003621623,0.17,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,216.05,2024,3,305.0,3.8,1,0,0,0,1.0,6.123233995736766e-17,217.85,217.47,216.84,217.38666666666668,218.10666666666668,0.5101307022061473,-0.83,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,219.6,2024,3,305.0,3.8,1,0,0,0,1.0,6.123233995736766e-17,216.05,217.85,217.47,217.12333333333333,217.60166666666666,0.948753568284909,1.64,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,219.21,2024,4,300.0,2.9,2,1,0,0,0.8660254037844387,-0.4999999999999998,219.6,216.05,217.85,217.83333333333334,217.535,1.7750586844758853,-0.18,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,218.16,2024,4,300.0,2.9,2,1,0,0,0.8660254037844387,-0.4999999999999998,219.21,219.6,216.05,218.28666666666666,217.83666666666667,1.9468007944659447,-0.48,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,218.47,2024,5,303.0,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,218.16,219.21,219.6,218.99,218.05666666666664,0.7447818472545376,0.14,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Hanguranketha,218.62,2024,5,303.0,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,218.47,218.16,219.21,218.61333333333332,218.22333333333333,0.5394750534855391,0.07,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,219.2,2024,5,303.0,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,218.62,218.47,218.16,218.41666666666666,218.3516666666667,0.23459184413194403,0.27,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,223.0,2024,6,304.0,0.5,2,1,0,0,1.2246467991473532e-16,-1.0,219.2,218.62,218.47,218.76333333333332,218.87666666666667,0.385529938309892,1.73,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,218.47,2024,6,304.0,0.5,2,1,0,0,1.2246467991473532e-16,-1.0,223.0,219.2,218.62,220.2733333333333,219.4433333333333,2.3791034725991476,-2.03,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,222.8,2024,7,304.0,0.7,3,1,0,0,-0.4999999999999997,-0.8660254037844388,218.47,223.0,219.2,220.22333333333333,219.31999999999996,2.4322075021127034,1.98,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,218.76,2024,7,304.0,0.7,3,1,0,0,-0.4999999999999997,-0.8660254037844388,222.8,218.47,223.0,221.42333333333332,220.09333333333333,2.5596158565951677,-1.81,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Hanguranketha,219.49,2024,7,304.0,0.7,3,1,0,0,-0.4999999999999997,-0.8660254037844388,218.76,222.8,218.47,220.01,220.14166666666665,2.4205577869573895,0.33,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,221.76,2024,7,304.0,0.7,3,1,0,0,-0.4999999999999997,-0.8660254037844388,219.49,218.76,222.8,220.35,220.28666666666666,2.1529282384696566,1.03,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,220.5,2024,8,299.0,0.8,3,1,0,0,-0.8660254037844385,-0.5000000000000004,221.76,219.49,218.76,220.00333333333333,220.71333333333334,1.5644913976539887,-0.57,0,1,0,0,0,1,0,0,0,0,0,0,0,0
